type,text,core,criteria,overwrite
section,ตอนที่ 1. การตรวจร่างกาย (45 คะแนน),,,
item,1.1 ขออนุญาตผู้ป่วยก่อนตรวจร่างกาย (เกณฑ์ ศรว.),2 0,,
item,1.2 ตรวจร่างกายอย่างสุภาพนุ่มนวล (เกณฑ์ ศรว.),2 0,,
item,1.3 สื่อสารเป็นระยะขณะตรวจร่างกาย (เกณฑ์ ศรว.),2 0,,
item,1.4 คลำชีพจรรายงาน pulse rate และ rhythm (regular/irregular),6 3 0,,
sub,"    (ตอบสมบูรณ์ ให้ 6 คะแนน, ไม่สมบูรณ์ ให้ 3 คะแนน)",,,
item,1.5 ตรวจตา,9 6 3 0,3 2 1 0,
criteria,     Exophthalmos,1,,
criteria,     Lid lag,1,,
criteria,     Lid retraction ,1,,
sub,    (ข้อละ 3 คะแนน),,,
item,1.6 ตรวจต่อมไทรอยด์ ,9 6 3 0,3 2 1 0,
criteria,     คลำต่อมไทรอยด์ถูกตำแหน่ง,1,,
criteria,     พูดว่าให้ผู้ป่วยกลืนน้ำลาย,1,,
criteria,     ฟัง thyroid bruit,1,,
sub,    (ข้อละ 3 คะแนน),,,
item,1.7 ตรวจระบบประสาท,6 3 0,2 1 0,
criteria,     Fine tremor,1,,
criteria,     Proximal muscle weakness,1,,
sub,    (ข้อละ 3 คะแนน),,,
item,1.8 ตรวจ skin และ extremities ,9 6 3 0,3 2 1 0,
criteria,     Moist skin,1,,
criteria,    Onycholysis หรือ finger clubbing ,1,,
criteria,     Pretibial myxedema,1,,
sub,    (ข้อละ 3 คะแนน),,,
section,ตอนที่ 2. การวินิจฉัยและแนะนำแนวทางการรักษา (40 คะแนน),,,
item,2.1 แจ้งวินิจฉัยภาวะไทรอยด์เป็นพิษ (Graves’ disease),4 0,,
item,2.2 อธิบายเกี่ยวกับตัวโรค,4 2 0,2 1 0,
criteria,     เกิดจากการที่ร่างกายมีภูมิคุ้มกันผิดปกติ,1,,
criteria,     กระตุ้นให้ไทรอยด์ทำงานมากผิดปกติ/ฮอร์โมนมากผิดปกติ,1,,
item,2.3 แจ้งทางเลือกของการรักษา ,6 4 2 0,3 2 1 0,
criteria,     ยาต้านไทรอยด์,1,,
criteria,     การกลืนน้ำแร่ที่มีรังสีไอโอดีน,1,,
criteria,     การผ่าตัดต่อมไทรอยด์,1,,
sub,      (ข้อละ 2 คะแนน),,,
item,2.4 อธิบายข้อดีของยาต้านไทรอยด์ ว่ายาออกฤทธิ์ลดการสร้างฮอร์โมนไทรอยด์ ไม่มีความเสี่ยงของการผ่าตัดหรือรังสี,4 2 0,,
